Date,Price,Open,High,Low,Vol.,Change %
2/14/2022,"2,928.97","2,877.92","2,963.96","2,834.38",381.79K,2.02%
2/13/2022,"2,871.02","2,915.72","2,952.96","2,838.25",242.75K,-1.57%
2/12/2022,"2,916.88","2,927.54","2,984.90","2,858.57",336.19K,-0.36%
2/11/2022,"2,927.53","3,072.47","3,136.72","2,880.09",462.06K,-4.69%
2/10/2022,"3,071.51","3,243.47","3,276.46","3,058.05",578.28K,-5.30%
2/9/2022,"3,243.32","3,118.96","3,266.33","3,056.08",370.17K,4.09%
2/8/2022,"3,115.80","3,145.15","3,228.28","3,030.10",514.78K,-0.76%
2/7/2022,"3,139.68","3,055.69","3,185.57","2,995.81",455.07K,2.72%
2/6/2022,"3,056.40","3,016.80","3,073.18","2,957.03",249.44K,1.42%
2/5/2022,"3,013.48","2,990.00","3,058.84","2,962.77",356.93K,0.62%
2/4/2022,"2,994.99","2,695.99","2,994.99","2,671.48",664.12K,11.22%
2/3/2022,"2,692.97","2,678.91","2,724.13","2,579.77",404.78K,0.46%
2/2/2022,"2,680.68","2,790.14","2,809.39","2,618.96",447.78K,-3.81%
2/1/2022,"2,786.91","2,686.99","2,807.54","2,676.56",390.04K,3.73%
1/31/2022,"2,686.66","2,603.33","2,704.51","2,478.70",444.43K,3.23%
1/30/2022,"2,602.60","2,600.91","2,635.79","2,543.85",290.81K,0.09%
1/29/2022,"2,600.33","2,544.15","2,632.15","2,520.02",376.60K,2.13%
1/28/2022,"2,545.99","2,424.71","2,556.10","2,362.78",485.15K,5.00%
1/27/2022,"2,424.67","2,462.31","2,515.04","2,317.01",599.47K,-1.49%
1/26/2022,"2,461.30","2,458.70","2,719.55","2,405.68",806.50K,0.12%
1/25/2022,"2,458.27","2,441.11","2,504.39","2,352.56",510.13K,0.72%
1/24/2022,"2,440.81","2,538.36","2,538.36","2,161.68",1.12M,-3.92%
1/23/2022,"2,540.45","2,412.75","2,547.01","2,373.75",580.48K,5.30%
1/22/2022,"2,412.48","2,562.66","2,621.41","2,314.30",1.08M,-6.17%
1/21/2022,"2,571.12","3,000.15","3,032.34","2,473.50",1.02M,-14.42%
1/20/2022,"3,004.19","3,088.04","3,270.58","2,989.72",357.36K,-2.59%
1/19/2022,"3,084.20","3,165.57","3,173.14","3,049.30",332.96K,-2.40%
1/18/2022,"3,159.96","3,212.42","3,242.13","3,084.78",299.19K,-1.54%
1/17/2022,"3,209.25","3,348.40","3,356.40","3,142.02",284.01K,-4.10%
1/16/2022,"3,346.47","3,326.25","3,387.99","3,276.74",210.78K,0.55%
1/15/2022,"3,328.08","3,310.73","3,369.45","3,265.36",203.07K,0.61%
1/14/2022,"3,307.74","3,242.82","3,340.98","3,196.46",285.40K,2.01%
1/13/2022,"3,242.44","3,368.76","3,407.33","3,234.85",336.22K,-3.80%
1/12/2022,"3,370.48","3,239.73","3,406.50","3,208.47",370.47K,4.09%
1/11/2022,"3,237.93","3,083.14","3,263.07","3,053.61",362.47K,4.94%
1/10/2022,"3,085.46","3,146.03","3,179.99","2,932.51",529.76K,-2.06%
1/9/2022,"3,150.42","3,080.01","3,210.49","3,060.36",275.88K,2.30%
1/8/2022,"3,079.66","3,198.50","3,246.40","3,001.63",400.68K,-3.62%
1/7/2022,"3,195.35","3,412.43","3,412.66","3,080.30",669.76K,-6.22%
1/6/2022,"3,407.21","3,533.73","3,550.42","3,306.91",497.14K,-3.62%
1/5/2022,"3,535.07","3,784.10","3,846.31","3,419.20",397.44K,-6.75%
1/4/2022,"3,790.83","3,772.46","3,888.86","3,714.78",288.10K,0.70%
1/3/2022,"3,764.48","3,828.20","3,849.03","3,682.57",236.28K,-1.74%
1/2/2022,"3,831.24","3,765.75","3,850.00","3,718.31",154.75K,1.75%
1/1/2022,"3,765.36","3,679.41","3,774.77","3,675.68",154.15K,2.38%
12/31/2021,"3,677.70","3,709.19","3,812.06","3,623.69",268.02K,-0.86%
12/30/2021,"3,709.42","3,629.32","3,767.96","3,588.14",249.32K,2.27%
12/29/2021,"3,627.17","3,798.51","3,826.10","3,607.76",302.75K,-4.38%
12/28/2021,"3,793.17","4,037.04","4,037.04","3,761.00",358.06K,-6.02%
12/27/2021,"4,036.24","4,064.58","4,125.11","4,033.26",222.31K,-0.61%
12/26/2021,"4,061.17","4,095.72","4,103.98","4,005.01",189.16K,-0.77%
12/25/2021,"4,092.69","4,046.98","4,135.67","4,025.33",208.14K,1.22%
12/24/2021,"4,043.19","4,112.30","4,133.72","4,025.43",230.85K,-1.62%
12/23/2021,"4,109.70","3,980.37","4,148.85","3,895.82",380.18K,3.27%
12/22/2021,"3,979.47","4,014.00","4,072.10","3,943.62",303.22K,-0.92%
12/21/2021,"4,016.27","3,956.37","4,058.42","3,915.49",340.87K,1.82%
12/20/2021,"3,944.49","3,923.62","3,978.42","3,757.35",366.91K,0.48%
12/19/2021,"3,925.80","3,959.00","4,024.80","3,890.82",306.00K,-0.86%
12/18/2021,"3,959.77","3,881.81","3,992.51","3,770.62",339.77K,2.10%
12/17/2021,"3,878.43","3,959.05","3,994.00","3,702.29",463.29K,-1.97%
12/16/2021,"3,956.35","4,023.92","4,107.85","3,955.35",368.81K,-1.56%
12/15/2021,"4,018.94","3,859.06","4,089.65","3,648.77",542.03K,4.11%
12/14/2021,"3,860.41","3,783.53","3,879.48","3,690.04",395.14K,2.12%
12/13/2021,"3,780.13","4,126.81","4,140.73","3,672.30",533.47K,-8.51%
12/12/2021,"4,131.84","4,089.38","4,173.15","3,988.22",260.68K,1.39%
12/11/2021,"4,075.23","3,896.72","4,094.73","3,837.15",427.79K,4.40%
12/10/2021,"3,903.58","4,107.70","4,227.84","3,894.26",563.20K,-4.97%
12/9/2021,"4,107.82","4,437.94","4,482.76","4,077.94",462.01K,-7.38%
12/8/2021,"4,435.24","4,308.26","4,449.85","4,229.16",429.38K,2.97%
12/7/2021,"4,307.11","4,350.79","4,424.22","4,259.06",420.89K,-1.05%
12/6/2021,"4,352.66","4,197.06","4,374.22","3,922.04",726.73K,3.77%
12/5/2021,"4,194.60","4,123.56","4,247.57","4,035.80",536.33K,1.86%
12/4/2021,"4,118.06","4,213.57","4,237.33","3,561.06",1.11M,-2.36%
12/3/2021,"4,217.78","4,512.71","4,646.83","4,045.17",677.86K,-6.54%
12/2/2021,"4,512.71","4,583.02","4,630.11","4,437.49",451.88K,-1.53%
12/1/2021,"4,582.96","4,630.52","4,778.00","4,524.92",508.22K,-1.04%
11/30/2021,"4,631.22","4,442.62","4,748.00","4,348.96",742.65K,4.24%
11/29/2021,"4,442.82","4,300.00","4,457.00","4,279.54",406.97K,3.38%
11/28/2021,"4,297.52","4,094.97","4,297.52","3,980.00",346.50K,4.98%
11/27/2021,"4,093.56","4,041.65","4,182.66","4,028.52",275.44K,1.47%
11/26/2021,"4,034.41","4,525.51","4,547.70","3,916.62",720.21K,-10.74%
11/25/2021,"4,519.71","4,272.28","4,549.18","4,248.98",445.83K,5.85%
11/24/2021,"4,270.00","4,338.75","4,372.80","4,171.89",448.73K,-1.62%
11/23/2021,"4,340.45","4,088.03","4,384.72","4,062.19",502.79K,6.21%
11/22/2021,"4,086.52","4,263.24","4,311.17","4,026.64",518.63K,-4.26%
11/21/2021,"4,268.16","4,412.18","4,422.54","4,246.31",340.07K,-3.17%
11/20/2021,"4,408.00","4,294.75","4,434.09","4,206.02",365.23K,2.62%
11/19/2021,"4,295.39","3,996.26","4,305.18","3,978.34",420.39K,7.30%
11/18/2021,"4,003.13","4,291.23","4,342.67","3,958.35",576.62K,-6.71%
11/17/2021,"4,290.99","4,208.75","4,298.72","4,070.81",472.87K,1.96%
11/16/2021,"4,208.42","4,562.12","4,562.12","4,111.94",735.80K,-7.77%
11/15/2021,"4,563.04","4,634.28","4,770.01","4,544.21",375.48K,-1.36%
11/14/2021,"4,625.76","4,644.94","4,692.28","4,514.81",245.31K,-0.41%
11/13/2021,"4,644.58","4,669.97","4,704.89","4,585.21",220.73K,-0.45%
11/12/2021,"4,665.46","4,718.28","4,807.78","4,512.66",461.58K,-1.17%
11/11/2021,"4,720.86","4,625.11","4,778.09","4,578.99",303.77K,1.88%
11/10/2021,"4,633.95","4,732.74","4,864.13","4,507.15",553.55K,-2.07%
11/9/2021,"4,731.68","4,804.50","4,836.54","4,715.36",311.31K,-1.59%
11/8/2021,"4,808.09","4,613.20","4,822.96","4,613.20",391.09K,4.26%
11/7/2021,"4,611.73","4,516.46","4,634.35","4,502.38",243.69K,2.09%
11/6/2021,"4,517.27","4,473.03","4,526.66","4,330.83",322.09K,0.95%
11/5/2021,"4,474.98","4,533.16","4,569.43","4,439.00",305.64K,-1.34%
11/4/2021,"4,535.53","4,603.78","4,604.98","4,421.72",368.26K,-1.45%
11/3/2021,"4,602.42","4,589.26","4,661.14","4,459.50",448.68K,0.36%
11/2/2021,"4,585.74","4,318.80","4,598.12","4,287.86",468.16K,6.13%
11/1/2021,"4,320.91","4,288.93","4,377.37","4,158.07",417.62K,0.78%
10/31/2021,"4,287.60","4,327.99","4,393.48","4,170.48",413.75K,-0.79%
10/30/2021,"4,321.56","4,420.46","4,427.46","4,250.84",340.24K,-2.09%
10/29/2021,"4,413.79","4,286.51","4,459.04","4,268.25",559.06K,3.02%
10/28/2021,"4,284.51","3,923.58","4,289.44","3,895.91",626.56K,9.25%
10/27/2021,"3,921.72","4,130.52","4,300.31","3,914.22",704.44K,-5.04%
10/26/2021,"4,129.69","4,225.63","4,292.35","4,098.35",414.49K,-2.15%
10/25/2021,"4,220.35","4,084.10","4,235.25","4,069.92",347.43K,3.36%
10/24/2021,"4,083.18","4,171.99","4,183.98","3,965.55",350.13K,-2.05%
10/23/2021,"4,168.78","3,971.49","4,168.78","3,938.36",326.59K,4.98%
10/22/2021,"3,970.90","4,053.34","4,163.97","3,896.17",463.25K,-2.05%
10/21/2021,"4,054.15","4,161.79","4,365.70","4,028.35",798.63K,-2.55%
10/20/2021,"4,160.21","3,882.65","4,168.40","3,830.31",537.35K,7.31%
10/19/2021,"3,876.71","3,745.28","3,884.23","3,733.81",341.28K,3.44%
